INCIDENT_NUMBER,Lat,Long,my_colours
I172034460,42.31482241,-71.06524172,purple
I172026267,42.27341661,-71.07517409,orange
I172002734,42.32879153,-71.11051473,red
I172055514,42.2790573,-71.09584789,yellow
I172025030,42.3026137,-71.06801363,purple
I172003693,42.29182298,-71.07173417,purple
I172060524,42.30238881,-71.08539388,orange
I172015101,42.337225,-71.04728161,green
I172035682,42.3212398,-71.09390331,blue
I172028199,42.29909692,-71.05893858,purple
I172054480,42.33997488,-71.06446552,pink
I172065426,42.31694189,-71.10394558,red
I172039140,42.31391609,-71.11410571,red
I172018430,42.34717363,-71.0964439,pink
I172021387,42.30397603,-71.10476982,red
I172078710,42.27666319,-71.09757173,orange
I172012419,42.30767844,-71.08050401,blue
I172062371,42.29321264,-71.11755983,red
I172066844,42.32132788,-71.08105509,blue
I172092769,42.34994662,-71.05892052,yellow
I172017788,42.34762277,-71.07606735,pink
I172012405,42.34857652,-71.07772012,pink
I172080591,42.31265126,-71.11414509,red
I172068926,42.3367113,-71.07102057,pink
I172010516,42.31499803,-71.09194485,blue
I172091713,42.33840478,-71.08201499,pink
I172104960,42.33120378,-71.03114751,green
I172072011,42.32667817,-71.0714811,blue
I172028902,42.35801705,-71.06851841,yellow
I172078242,42.28575222,-71.06430857,purple
I172021745,42.28380634,-71.05198465,purple
I172095142,42.31965582,-71.09900513,red
I172020528,42.33710649,-71.10340992,blue
I172046176,42.35185362,-71.08325149,pink
I172047611,42.30854728,-71.05821219,purple
I172095279,42.3252158,-71.07492178,blue
I172089232,42.33858201,-71.05706782,green
I172083138,42.30010597,-71.0710271,purple
I172039512,42.32665471,-71.10679596,red
I172083893,42.31045049,-71.07899231,blue
I172008642,42.30239588,-71.07158583,purple
I172016632,42.28645725,-71.05461417,purple
I172025006,42.34226073,-71.0991651,pink
I172044610,42.32665688,-71.0865739,blue
I172036642,42.27411612,-71.10067716,orange
I172082738,42.31323306,-71.05813011,purple
I172075413,42.3092779,-71.07868791,blue
I172036206,42.3523119,-71.0637051,yellow
I172009578,42.33985265,-71.09185492,pink
I172021561,42.3383341,-71.02512214,green
I172081520,42.36124327,-71.06497327,yellow
I172033889,42.29768954,-71.06090954,purple
I172026374,42.28847731,-71.07193442,orange
I172106975,42.31432112,-71.07900586,blue
I172068183,42.35024571,-71.08918485,pink
I172107021,42.32702358,-71.07522008,blue
I172095592,42.34234193,-71.05633276,green
I172032087,42.30723714,-71.07623393,purple
I172067084,42.30855033,-71.05874703,purple
I172049283,42.29022613,-71.07207217,orange
I172021395,42.30724276,-71.07558677,purple
I172068168,42.33153509,-71.09534648,blue
I172064214,42.3179254,-71.05784812,purple
I172067464,42.31081893,-71.07133229,blue
I172006132,42.30853683,-71.07212616,purple
I172076486,42.3189886,-71.0983998,red
I172079791,42.31944397,-71.07239231,blue
I172065592,42.30402156,-71.0645917,purple
I172088986,42.28518631,-71.09211276,orange
I172087713,42.34944963,-71.0879627,pink
I172076139,42.31192789,-71.07762963,blue
I172090668,42.33011862,-71.08425106,blue
I172031424,42.35062199,-71.06151653,yellow
I172045612,42.3179254,-71.05784812,purple
I172035546,42.29788338,-71.07641492,orange
I172025523,42.33225457,-71.11160342,blue
I172073647,42.32859767,-71.05363334,green
I172073708,42.28465991,-71.07839997,orange
I172034093,42.30027,-71.10466,blue
I172004918,42.29708829,-71.09095546,orange
I172046810,42.3365535,-71.10198577,blue
I172009805,42.33840478,-71.08201499,pink
I172026806,42.31202047,-71.08851632,blue
I172046163,42.30095488,-71.06537601,purple
I172095115,42.33555954,-71.07436364,pink
I172096962,42.2900467,-71.07330004,orange
I172085693,42.34974111,-71.05801618,yellow
I172097814,42.27967492,-71.08381263,orange
I172008812,42.30540715,-71.06547135,purple
I172070862,42.3211829,-71.1068278,red
I172045427,42.35237073,-71.07227173,pink
I172077909,42.32338233,-71.05589589,green
I172067549,42.34790821,-71.08543442,pink
I172047553,42.29017432,-71.08808525,orange
I172029342,42.3021878,-71.07365004,purple
I172000161,42.31397948,-71.0686658,blue
I172054649,42.29158089,-71.07664628,orange
I172029971,42.31652381,-71.07528756,blue
I172073582,42.35249459,-71.06642488,yellow
I172076736,42.31993295,-71.08157395,blue
I172063027,42.36243369,-71.06380681,yellow
I172009454,42.320483,-71.061514,purple
I172005745,42.3189886,-71.0983998,red
I172082325,42.30337864,-71.07854583,purple
I172016375,42.30971857,-71.10429432,red
I172099263,42.3578953,-71.05648542,yellow
I172072743,42.27357721,-71.0677043,purple
I172067429,42.31406507,-71.10236678,red
I172106697,42.3252158,-71.07492178,blue
I172095035,42.31286692,-71.05804289,purple
I172019145,42.32692266,-71.08313475,blue
I172024666,42.3276156,-71.07285692,blue
I172015115,42.33428841,-71.07239518,pink
I172069746,42.32209079,-71.07477877,blue
I172058451,42.33364401,-71.09086302,blue
I172075535,42.35162789,-71.0686641,yellow
I172014685,42.2900025,-71.118203,red
I172025470,42.3666696,-71.05900199,yellow
I172052410,42.34946444,-71.14270449,red
I172055119,42.28221207,-71.05556154,purple
I172037248,42.30971857,-71.10429432,red
I172058600,42.31177654,-71.10849011,red
I172088779,42.33407685,-71.08356424,blue
I172001163,42.31656425,-71.07811557,blue
I172003436,42.33035441,-71.08890209,blue
I172089334,42.34984179,-71.07480212,pink
I172102764,42.29440466,-71.0591667,purple
I172092193,42.29466808,-71.06673651,purple
I172083582,42.32866284,-71.08563401,blue
I172041177,42.29391227,-71.05399129,purple
I172075469,42.31865102,-71.08162344,blue
I172071465,42.35988372,-71.06016189,yellow
I172089469,42.34855133,-71.06702716,yellow
I172039854,42.31175348,-71.08197378,blue
I172086391,42.33364401,-71.09086302,blue
I172030146,42.32524607,-71.06938944,blue
I172011593,42.29293284,-71.05032319,purple
I172104885,42.27693086,-71.08631706,orange
I172061665,42.34111504,-71.05632465,green
I172023337,42.29520338,-71.0927164,orange
I172061157,42.3457782,-71.08429595,pink
I172011556,42.33965205,-71.07455503,pink
I172101687,42.30238881,-71.08539388,orange
I172105383,42.32962107,-71.05763827,green
I172003464,42.36090211,-71.05565561,yellow
I172091349,42.28969808,-71.04995267,purple
I172044503,42.33428841,-71.07239518,pink
I172038768,42.33767953,-71.07529119,pink
I172058000,42.3470248,-71.08516365,pink
I172049192,42.26956689,-71.09075049,orange
I172081925,42.29453954,-71.0866989,orange
I172032080,42.29685211,-71.06702258,purple
I172103833,42.31528744,-71.08015967,blue
I172072427,42.33210843,-71.07014395,green
I172067426,42.3276156,-71.07285692,blue
I172047861,42.32809966,-71.06321676,blue
I172000022,42.29598068,-71.0702667,purple
I172017444,42.30648026,-71.06675783,purple
I172003435,42.28203813,-71.0523111,purple
I172031702,42.33081031,-71.07024806,green
I172041265,42.338214,-71.057034,green
I172079617,42.29588434,-71.092206,orange
